电影名,评分,电影地址
花椒之味,7.2,https://movie.douban.com/subject/26935296/
金发男子,8.0,https://movie.douban.com/subject/27594856/
极限逃生,7.6,https://movie.douban.com/subject/30210691/
仲夏夜惊魂,6.5,https://movie.douban.com/subject/30288638/
在黑暗中讲述的恐怖故事,6.1,https://movie.douban.com/subject/26278747/
飞驰人生,6.9,https://movie.douban.com/subject/30163509/
坏家伙们,6.5,https://movie.douban.com/subject/30249076/
白蛇：缘起,7.9,https://movie.douban.com/subject/30331149/
使徒行者2：谍影行动,6.3,https://movie.douban.com/subject/30423193/
好小子们,7.2,https://movie.douban.com/subject/27115166/
海王,7.6,https://movie.douban.com/subject/3878007/
地久天长,7.9,https://movie.douban.com/subject/26715636/
愤怒的小鸟2,7.1,https://movie.douban.com/subject/26863060/
大侦探皮卡丘,6.5,https://movie.douban.com/subject/26835471/
速度与激情：特别行动,6.3,https://movie.douban.com/subject/27163278/
我在雨中等你,8.0,https://movie.douban.com/subject/3882427/
阿丽塔：战斗天使,7.5,https://movie.douban.com/subject/1652592/
波西米亚狂想曲,8.7,https://movie.douban.com/subject/5300054/
蜘蛛侠：英雄远征,7.8,https://movie.douban.com/subject/26931786/
一条狗的使命2,6.9,https://movie.douban.com/subject/27074316/
罗小黑战记,8.2,https://movie.douban.com/subject/26709258/
续命之徒：绝命毒师电影,8.2,https://movie.douban.com/subject/30372377/
卢斯,7.6,https://movie.douban.com/subject/27195204/
大西洋,6.4,https://movie.douban.com/subject/33413905/
花生酱猎鹰,7.9,https://movie.douban.com/subject/27035542/
哪吒之魔童降世,8.5,https://movie.douban.com/subject/26794435/
送我上青云,7.2,https://movie.douban.com/subject/27180759/
寄生虫,8.7,https://movie.douban.com/subject/27010768/
诛仙 Ⅰ,5.0,https://movie.douban.com/subject/25779217/
狮子王,7.4,https://movie.douban.com/subject/26884354/
小丑回魂2,6.4,https://movie.douban.com/subject/27133569/
安娜,7.7,https://movie.douban.com/subject/27166976/
银河补习班,6.2,https://movie.douban.com/subject/30282387/
烈火英雄,6.5,https://movie.douban.com/subject/30221757/
