主播名,房间名,房间url,游戏名,房间url
英雄联盟,英雄联盟的直播间,https://live.kuaishou.com/u/lol1314666,英雄联盟,https://live.kuaishou.com/u/lol1314666
PEL和平精英职业联赛,2019PEL和平精英职业联赛,https://live.kuaishou.com/u/3x4546nfkivjsxe,和平精英,https://live.kuaishou.com/u/3x4546nfkivjsxe
CHEN天赐〽️王者荣耀,单排撩妹连胜每把15头,https://live.kuaishou.com/u/tianci666,王者荣耀,https://live.kuaishou.com/u/tianci666
黄二狗★和平精英,迟到了...,https://live.kuaishou.com/u/JJbeng77,和平精英,https://live.kuaishou.com/u/JJbeng77
和平精英12阳,单人四排 马上战神了,https://live.kuaishou.com/u/JiuYang6666,和平精英,https://live.kuaishou.com/u/JiuYang6666
和平精英真路🐂,喜提黄金风衣,https://live.kuaishou.com/u/ZhenLu996,和平精英,https://live.kuaishou.com/u/ZhenLu996
QQ飞车海棠（老声优）,中午直播棠,https://live.kuaishou.com/u/XuanFeng12138,QQ飞车手游,https://live.kuaishou.com/u/XuanFeng12138
三阳:绝地求生情感NJ,来呀,https://live.kuaishou.com/u/3x6hdrttyupy5bc,绝地求生,https://live.kuaishou.com/u/3x6hdrttyupy5bc
王者荣耀林度 三万战火舞,王者局单排操作意识秀,https://live.kuaishou.com/u/LLLYYY666999,王者荣耀,https://live.kuaishou.com/u/LLLYYY666999
王者荣耀冠宇『B+』,国服号巅峰赛冲国一干将,https://live.kuaishou.com/u/guanyu2333,王者荣耀,https://live.kuaishou.com/u/guanyu2333
小七-火影忍者疾风传,你强任你强~小七来称王~,https://live.kuaishou.com/u/xiaoqiaihuoying,火影忍者,https://live.kuaishou.com/u/xiaoqiaihuoying
婷儿王者荣耀💫全能王,英雄池输一局学猫叫,https://live.kuaishou.com/u/atinger66,王者荣耀,https://live.kuaishou.com/u/atinger66
王者荣耀如风《国服关羽》,王者局排位赛一把不输,https://live.kuaishou.com/u/RuFengFeng,王者荣耀,https://live.kuaishou.com/u/RuFengFeng
阿林🏅绝地求生和平精英,阿林来晚了,https://live.kuaishou.com/u/3xd9xd45hzynae4,和平精英,https://live.kuaishou.com/u/3xd9xd45hzynae4
JJ斗地主,JJ斗地主冠军杯,https://live.kuaishou.com/u/jjworld126,JJ斗地主,https://live.kuaishou.com/u/jjworld126
机灵鬼呆萌和平精英,呆萌五指第45天,https://live.kuaishou.com/u/sjzqxiaoyue,和平精英,https://live.kuaishou.com/u/sjzqxiaoyue
王者荣耀启明【全能王】,连胜号继续干,https://live.kuaishou.com/u/qiming188,王者荣耀,https://live.kuaishou.com/u/qiming188
和平精英 可与（林梦）,可与被关小黑屋了,https://live.kuaishou.com/u/ff003729,和平精英,https://live.kuaishou.com/u/ff003729
