排名,名称,价格,发行日期,详情页地址
1,Wrecking Ball (Diary of a Wimpy Kid Book 14),$9.54,2019-11-05,https://www.amazon.com/Wrecking-Ball-Diary-Wimpy-Book/dp/1419739034/ref=zg_bsnr_283155_1/142-3806711-5357032?_encoding=UTF8&psc=1&refRID=9JMR8SNRHF1HAYSYXRYA
2,"Finding Chika: A Little Girl, an Earthquake, and the Making of a Family",$17.49,2019-11-05,https://www.amazon.com/Finding-Chika-Little-Earthquake-Making/dp/0062952390/ref=zg_bsnr_283155_2/142-3806711-5357032?_encoding=UTF8&psc=1&refRID=9JMR8SNRHF1HAYSYXRYA
3,The Beautiful Ones,$18.00,2019-10-29,https://www.amazon.com/Beautiful-Ones-Prince/dp/0399589651/ref=zg_bsnr_283155_3/142-3806711-5357032?_encoding=UTF8&psc=1&refRID=9JMR8SNRHF1HAYSYXRYA
4,The Plot Against the President: The True Story of How Congressman Devin Nunes Uncovered the Biggest Political Scandal in U.S. History,$18.05,2019-10-29,https://www.amazon.com/Plot-Against-President-Congressman-Uncovered/dp/1546085025/ref=zg_bsnr_283155_4/142-3806711-5357032?_encoding=UTF8&psc=1&refRID=9JMR8SNRHF1HAYSYXRYA
5,Mobituaries: Great Lives Worth Reliving,$20.29,2019-11-05,https://www.amazon.com/Mobituaries-Great-Lives-Worth-Reliving/dp/1501197622/ref=zg_bsnr_283155_5/142-3806711-5357032?_encoding=UTF8&psc=1&refRID=9JMR8SNRHF1HAYSYXRYA
6,The Giver of Stars: A Novel,$16.83,2019-10-08,https://www.amazon.com/Giver-Stars-Novel-Jojo-Moyes/dp/0399562486/ref=zg_bsnr_283155_6/142-3806711-5357032?_encoding=UTF8&psc=1&refRID=9JMR8SNRHF1HAYSYXRYA
7,The Guardians: A Novel,$17.99,2019-10-15,https://www.amazon.com/Guardians-Novel-John-Grisham/dp/0385544189/ref=zg_bsnr_283155_7/142-3806711-5357032?_encoding=UTF8&psc=1&refRID=9JMR8SNRHF1HAYSYXRYA
8,Me: Elton John Official Autobiography,$17.60,2019-10-15,https://www.amazon.com/Me-Elton-John-Official-Autobiography/dp/1250147603/ref=zg_bsnr_283155_8/142-3806711-5357032?_encoding=UTF8&psc=1&refRID=9JMR8SNRHF1HAYSYXRYA
9,Strange Planet,$10.10,2019-11-19,https://www.amazon.com/Strange-Planet-Nathan-W-Pyle/dp/0062970704/ref=zg_bsnr_283155_9/142-3806711-5357032?_encoding=UTF8&psc=1&refRID=9JMR8SNRHF1HAYSYXRYA
10,The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,$19.74,2019-11-05,https://www.amazon.com/Man-Who-Solved-Market-Revolution/dp/073521798X/ref=zg_bsnr_283155_10/142-3806711-5357032?_encoding=UTF8&psc=1&refRID=9JMR8SNRHF1HAYSYXRYA
11,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8) (8),$9.17,2019-12-10,https://www.amazon.com/Dog-Man-Fetch-22-Creator-Underpants/dp/1338323210/ref=zg_bsnr_283155_11/142-3806711-5357032?_encoding=UTF8&psc=1&refRID=9JMR8SNRHF1HAYSYXRYA
