景点名,排名,评分,评价数,价格,地址,详情页url
世界之窗,1,4.4,23510,85,深圳市南山区华侨城深南大道9037号,https://you.ctrip.com/sight/shenzhen26/2778.html
东部华侨城,2,4.5,14640,100,深圳市盐田区大梅沙东部华侨城,https://you.ctrip.com/sight/shenzhen26/50102.html
深圳欢乐谷,3,4.4,11128,49,深圳市南山区华侨城侨城西路,https://you.ctrip.com/sight/shenzhen26/13720.html
锦绣中华民俗村,4,4.6,9109,59,深圳市南山区深南大道中段西端华侨城,https://you.ctrip.com/sight/shenzhen26/2776.html
大梅沙海滨公园,5,4.4,1221,,深圳市盐田区盐葵路大梅沙段148号,https://you.ctrip.com/sight/shenzhen26/5812.html
红树林,6,4.5,736,,深圳市福田区滨河大道,https://you.ctrip.com/sight/shenzhen26/50544.html
深圳野生动物园,7,4.5,6806,120,深圳市南山区西丽湖东侧,https://you.ctrip.com/sight/shenzhen26/6037.html
西冲,8,4.2,765,78,深圳市龙岗区南澳镇,https://you.ctrip.com/sight/shenzhen26/50565.html
小梅沙,9,4.2,813,48,深圳市盐田区大鹏湾畔小梅沙,https://you.ctrip.com/sight/shenzhen26/2780.html
小梅沙海洋世界,10,4.4,6086,155,深圳市盐田区小梅沙海滨旅游区,https://you.ctrip.com/sight/shenzhen26/50516.html
杨梅坑,11,4.4,346,399,深圳市龙岗区东山社区,https://you.ctrip.com/sight/shenzhen26/50571.html
地王观光·深港之窗,12,4.2,1336,70,深圳市罗湖区地王大厦69F,https://you.ctrip.com/sight/shenzhen26/11546.html
较场尾,13,4.2,282,,深圳市大鹏新区,https://you.ctrip.com/sight/shenzhen26/1508470.html
荷兰花卉小镇,14,4.3,266,,深圳市南山区月亮湾大道3008号,https://you.ctrip.com/sight/shenzhen26/1508482.html
沙头角中英街,15,4.0,597,,深圳市盐田区沙头角镇,https://you.ctrip.com/sight/shenzhen26/20401.html
莲花山公园,16,4.6,738,,深圳市福田区红荔路6030号,https://you.ctrip.com/sight/shenzhen26/50541.html
青青世界,17,4.5,1223,75,深圳市南山区月亮湾,https://you.ctrip.com/sight/shenzhen26/2777.html
南澳,18,4.3,202,60,深圳市龙岗区,https://you.ctrip.com/sight/shenzhen26/5819.html
光明农场大观园,19,3.9,962,73,深圳市宝安区光明新区碧水路农场大观园,https://you.ctrip.com/sight/shenzhen26/2781.html
观澜山水田园旅游文化园,20,4.1,1080,11.11,深圳市龙华区观澜镇君子布环观南路山水田园旅游文化园,https://you.ctrip.com/sight/shenzhen26/50575.html
东部华侨城茶溪谷,21,4.2,1312,,深圳市盐田区大梅沙东部华侨城,https://you.ctrip.com/sight/shenzhen26/133212.html
梧桐山,22,4.6,358,,深圳市罗湖区梧桐山村,https://you.ctrip.com/sight/shenzhen26/50545.html
海上世界,23,4.5,455,,深圳市南山区蛇口望海路1128号,https://you.ctrip.com/sight/shenzhen26/5815.html
仙湖植物园,24,4.4,431,,深圳市罗湖区仙湖路160号仙湖植物园,https://you.ctrip.com/sight/shenzhen26/2783.html
大鹏所城,25,4.2,325,399,深圳市龙岗区南门东路,https://you.ctrip.com/sight/shenzhen26/50528.html
海上田园,26,4.0,882,55,深圳市宝安区沙井镇民主村民主大道,https://you.ctrip.com/sight/shenzhen26/50521.html
深圳欢乐海岸,27,4.5,776,39.9,深圳市南山区白石路东8号欢乐海岸,https://you.ctrip.com/sight/shenzhen26/1408300.html
茶溪谷茵特拉根小镇,28,4.4,132,,深圳市盐田区大梅沙东部华侨城茶溪谷景区内,https://you.ctrip.com/sight/shenzhen26/1508465.html
深圳大学,29,4.6,328,,深圳市南山区南海大道3688号,https://you.ctrip.com/sight/shenzhen26/145401.html
欢乐海岸海洋奇梦馆,30,4.3,1133,60,深圳市南山区白石路东8号欢乐海岸购物中心二楼东端,https://you.ctrip.com/sight/shenzhen26/142067.html
邓小平画像,31,4.5,219,,深圳市福田区红岭大厦1栋28,https://you.ctrip.com/sight/shenzhen26/50538.html
园博园,32,4.4,249,,深圳市福田区深南大道8002号,https://you.ctrip.com/sight/shenzhen26/50576.html
东门老街,33,4.3,675,9.9,深圳市罗湖区,https://you.ctrip.com/sight/shenzhen26/50547.html
大芬油画村,34,4.2,250,,深圳市龙岗区布吉镇大芬村,https://you.ctrip.com/sight/shenzhen26/50532.html
东部华侨城大侠谷,35,4.4,1722,100,深圳市盐田区大梅沙东部华侨城内,https://you.ctrip.com/sight/shenzhen26/133211.html
凤凰山,36,4.4,290,,深圳市宝安区福永街道凤凰村,https://you.ctrip.com/sight/shenzhen26/50572.html
深圳湾公园,37,4.7,295,,深圳市南山区滨海侨城东立交桥,https://you.ctrip.com/sight/shenzhen26/1508177.html
大鹏半岛,38,4.5,55,45,深圳市龙岗区,https://you.ctrip.com/sight/shenzhen26/1474852.html
东冲,39,4.4,75,,深圳市龙岗区东涌旅游区内,https://you.ctrip.com/sight/shenzhen26/135871.html
深圳市民中心,40,4.5,207,,深圳市福田区福中三路1号（近少年宫）,https://you.ctrip.com/sight/shenzhen26/1508447.html
荔枝公园,41,4.5,332,,深圳市福田区红岭中路1001,https://you.ctrip.com/sight/shenzhen26/122378.html
何香凝美术馆,42,4.4,169,,深圳市南山区深南大道9103号,https://you.ctrip.com/sight/shenzhen26/50816.html
深圳博物馆,43,4.5,273,,深圳市福田区福中路市民中心A区,https://you.ctrip.com/sight/shenzhen26/1468746.html
关山月美术馆,44,4.5,129,,深圳市福田区红荔路6026号,https://you.ctrip.com/sight/shenzhen26/50815.html
罗湖口岸,45,4.4,388,,深圳市罗湖区人民南路,https://you.ctrip.com/sight/shenzhen26/122206.html
《深蓝秘境》水域舞台演出,46,4.5,895,70,深圳市南山区白石路东8号（欢乐海岸水秀剧场）,https://you.ctrip.com/sight/shenzhen26/136089.html
羊台山森林公园,47,4.4,372,,深圳市石岩镇龙腾路龙眼山村,https://you.ctrip.com/sight/shenzhen26/50518.html
