排名,币种,价格,24H涨跌幅,24H成交额,市值,流通量,图片地址
1,比特币,"7,310.04",0.69%,41.28亿,"1,308.59亿","1,790.12万",https://img.jinse.com/830138_image20.png
2,以太坊,133,0.99%,16.45亿,142.45亿,1.07亿,https://img.jinse.com/830168_image20.png
3,瑞波币,0.1923,0.54%,1.85亿,82.38亿,428.33亿,https://img.jinse.com/516715_image20.png
9,泰达币,1,0.09%,867.45万,40.28亿,40.28亿,https://img.jinse.com/830964_image20.png
6,比特现金,221.113,3.87%,7.3亿,39.62亿,"1,791.83万",https://img.jinse.com/830142_image20.png
2917,CryptoChain,0.0344,-0.17%,376.24万,34.35亿,"1,000亿",https://img.jinse.com/jinse_1566272432600958069
559,BWX,0.0509,0,10.18,32.72亿,643.2亿,https://img.jinse.com/jinse_1565837311317565196
4,莱特币,42.0724,1.55%,4.89亿,26.44亿,"6,287.56万",https://img.jinse.com/830150_image20.png
5,柚子,2.6318,1.24%,7.74亿,24.87亿,9.45亿,https://img.jinse.com/830147_image20.png
10,比特币SV,104.435,6.42%,2.73亿,21.93亿,"2,100万",https://img.jinse.com/1517848_image20.png
3107,CAPITAL X CELL,0.6448,6.73%,"488,643.3",21.37亿,33.14亿,https://img.jinse.com/jinse_1568793081583187849
7,币安币,13.6884,1.15%,"6,088.82万",21.29亿,1.56亿,https://img.jinse.com/830983_image20.png
464,BitConnect,218.549,3.87%,234.02万,21.05亿,963.25万,None
3111,DBM Token,0.1952,-2.77%,"801,201.14",9.76亿,50亿,https://img.jinse.com/jinse_1568794478533953569
8,恒星币,0.0452,0.3%,"1,776.67万",8.87亿,196.17亿,https://img.jinse.com/511664_image20.png
16,火币全球通用积分,2.8448,1.49%,"9,093.88万",8.83亿,3.1亿,https://img.jinse.com/550977_image20.png
12,波场,0.0133,0.04%,1.73亿,8.8亿,661.45亿,https://img.jinse.com/718991_image20.png
11,艾达币,0.0339,0.45%,"1,124.97万",8.79亿,259.27亿,https://img.jinse.com/511660_image20.png
13,门罗币,50.3441,1.03%,2.77亿,8.62亿,"1,712.55万",https://img.jinse.com/830963_image20.png
2931,LEOtoken,0.8371,-0.16%,"127,180.46",8.37亿,10亿,https://img.jinse.com/jinse_1566529184126101793
2929,阿童木,4.2838,-0.82%,"3,174.16万",8.15亿,1.91亿,https://img.jinse.com/jinse_1566272443818752235
23,OK币,2.626,0.39%,"3,676.86万",7.84亿,2.98亿,https://img.jinse.com/875471_image20.png
22,Tezos,1.2448,-2.53%,"4,410.65万",7.56亿,6.07亿,https://resource.jinse.com/phenix/img/coin/XTZ.png
3158,AMAL Token,3.3238,3.61%,"111,159.67",6.98亿,2.1亿,https://img.jinse.com/jinse_1568876358201705807
45,LINK,1.8043,1.32%,"3,882.55万",6.31亿,3.5亿,https://img.jinse.com/831477_image20.png
19,小蚁,8.8717,1.28%,"7,013.74万",6.26亿,"7,053.88万",https://img.jinse.com/830960_image20.png
20,以太经典,4.5812,3.67%,2.51亿,5.15亿,1.12亿,https://img.jinse.com/529699_image20.png
14,埃欧塔,0.1696,3.63%,287.72万,4.71亿,27.8亿,https://img.jinse.com/516719_image20.png
17,MKR,437.72,2.38%,262.09万,4.38亿,100万,https://img.jinse.com/831159_image20.png
15,达世币,43.4296,2.46%,"3,581.86万",3.89亿,894.71万,https://img.jinse.com/830961_image20.png
3105,超算网络,0.0389,0.63%,"196,759.1",3.89亿,100亿,https://img.jinse.com/jinse_1568792616513745370
3143,油塔币,0.0879,0.06%,"84,859.09",3.52亿,40亿,https://img.jinse.com/jinse_1568873094990248698
18,本体,0.5204,-0.32%,"2,641.06万",3.41亿,6.55亿,https://img.jinse.com/jinse_1573010946103753793
27,唯链,0.00536153,-0.2%,836.2万,2.97亿,554.55亿,https://img.jinse.com/830977_image20.png
